counts,shots,job_id
"{'1': 496, '0': 528}",1024,0
"{'1': 517, '0': 507}",1024,1
"{'1': 483, '0': 541}",1024,2
"{'0': 528, '1': 496}",1024,3
"{'1': 517, '0': 507}",1024,4
"{'0': 477, '1': 547}",1024,5
"{'1': 491, '0': 533}",1024,6
"{'1': 506, '0': 518}",1024,7
"{'1': 504, '0': 520}",1024,8
"{'0': 532, '1': 492}",1024,9
"{'1': 509, '0': 515}",1024,10
"{'0': 508, '1': 516}",1024,11
"{'0': 492, '1': 532}",1024,12
"{'1': 502, '0': 522}",1024,13
"{'1': 503, '0': 521}",1024,14
"{'0': 514, '1': 510}",1024,15
"{'1': 524, '0': 500}",1024,16
"{'1': 521, '0': 503}",1024,17
"{'0': 517, '1': 507}",1024,18
"{'1': 520, '0': 504}",1024,19
"{'1': 501, '0': 523}",1024,20
"{'0': 524, '1': 500}",1024,21
"{'0': 509, '1': 515}",1024,22
"{'1': 531, '0': 493}",1024,23
"{'0': 524, '1': 500}",1024,24
"{'1': 506, '0': 518}",1024,25
"{'0': 506, '1': 518}",1024,26
"{'1': 494, '0': 530}",1024,27
"{'1': 505, '0': 519}",1024,28
"{'1': 479, '0': 545}",1024,29
"{'0': 510, '1': 514}",1024,30
"{'1': 549, '0': 475}",1024,31
"{'0': 559, '1': 465}",1024,32
"{'0': 545, '1': 479}",1024,33
"{'1': 524, '0': 500}",1024,34
"{'1': 503, '0': 521}",1024,35
"{'0': 531, '1': 493}",1024,36
"{'0': 516, '1': 508}",1024,37
"{'0': 486, '1': 538}",1024,38
"{'1': 498, '0': 526}",1024,39
"{'0': 541, '1': 483}",1024,40
"{'1': 498, '0': 526}",1024,41
"{'1': 526, '0': 498}",1024,42
"{'0': 493, '1': 531}",1024,43
"{'1': 501, '0': 523}",1024,44
"{'1': 504, '0': 520}",1024,45
"{'1': 500, '0': 524}",1024,46
"{'0': 501, '1': 523}",1024,47
"{'1': 464, '0': 560}",1024,48
"{'1': 497, '0': 527}",1024,49
"{'1': 512, '0': 512}",1024,50
"{'1': 509, '0': 515}",1024,51
"{'1': 481, '0': 543}",1024,52
"{'1': 505, '0': 519}",1024,53
"{'1': 520, '0': 504}",1024,54
"{'0': 513, '1': 511}",1024,55
"{'0': 508, '1': 516}",1024,56
"{'1': 497, '0': 527}",1024,57
"{'1': 498, '0': 526}",1024,58
"{'1': 519, '0': 505}",1024,59
"{'1': 533, '0': 491}",1024,60
"{'0': 509, '1': 515}",1024,61
"{'1': 507, '0': 517}",1024,62
"{'1': 507, '0': 517}",1024,63
"{'1': 525, '0': 499}",1024,64
"{'0': 498, '1': 526}",1024,65
"{'0': 504, '1': 520}",1024,66
"{'0': 495, '1': 529}",1024,67
"{'1': 533, '0': 491}",1024,68
"{'0': 499, '1': 525}",1024,69
"{'0': 519, '1': 505}",1024,70
"{'1': 524, '0': 500}",1024,71
"{'0': 525, '1': 499}",1024,72
"{'1': 494, '0': 530}",1024,73
"{'1': 520, '0': 504}",1024,74
"{'0': 538, '1': 486}",1024,75
"{'1': 529, '0': 495}",1024,76
"{'1': 502, '0': 522}",1024,77
"{'0': 494, '1': 530}",1024,78
"{'0': 532, '1': 492}",1024,79
"{'0': 526, '1': 498}",1024,80
"{'0': 502, '1': 522}",1024,81
"{'1': 529, '0': 495}",1024,82
"{'0': 506, '1': 518}",1024,83
